primary_key,interested_read,quick_read,glanced
9769,64474,14550,13815
9724,289,94,121
1507,85,19,21
4463,3,3,6
4948,41,13,5
3809,868,212,280
8807,184,42,31
4851,8,1,1
3820,2,0,0
9326,101,27,18
9595,230,65,112
6367,10,1,2
5277,8,2,4
3895,35613,9360,8788
3076,874,195,202
2094,1348,298,276
9482,85,20,34
1717,350,89,135
3789,38580,9455,13086
1740,98,21,15
4352,59,17,21
3269,1177,247,215
3517,731,172,177
6918,91,15,30
9395,291,91,156
1776,52506,11243,12958
1551,149,46,92
3543,165,28,31
2839,3,2,0
1897,879,198,192
8540,31,15,8
9729,190,41,34
6699,153,44,20
4185,769,265,458
9642,7,3,3
6703,36,6,9
7174,4609,1660,1986
2026,11,2,4
7059,703,201,169
4549,1,1,1
2510,12,7,4
1631,106,34,25
7533,1028,293,586
5438,2,1,0
1452,70,22,36
2193,394,75,73
6379,1502,409,642
9357,54,22,13
7760,143,27,50
1172,292,132,237
8095,22677,4855,7784
1291,123,27,25
4154,818,220,205
7740,104,25,19
3180,2,0,2
4700,2874,636,663
5984,3,1,0
9617,60,14,18
2246,343,107,99
5093,144,33,33
8150,42044,10102,14525
9047,50,9,20
5387,582,98,99
9053,39,9,32
4509,985,234,228
9245,18,9,4
4080,42,20,29
9379,834,184,184
3566,31197,5945,6695
1292,5,3,3
4099,288,65,63
7357,7,1,3
3390,0,0,1
9276,5,0,3
7268,22,6,9
6865,11,0,5
7339,43365,10017,12745
7709,295,90,90
9454,2453,559,587
5382,689,186,175
3093,16,4,3
7715,407,127,140
7404,138,36,26
5833,2,0,1
5467,503,140,152
1921,78196,18073,17314
5710,481,145,255
6857,101,35,40
4302,2,0,0
5965,3,2,3
1963,1254,345,346
2951,83,32,54
2765,20,3,4
8179,240,111,199
2280,8,7,6
8304,8784,2239,2655
7383,231,55,42
3068,33,12,20
2286,105,30,56
1900,17,3,7
7723,89,13,40
6889,175,61,76
4041,74,15,26
6516,30,11,4
7768,53,14,11
9368,41,10,5
3432,701,183,178
2043,679,174,157
5987,1147,311,361
5216,133,45,83
7368,77,25,30
3700,746,178,161
1093,13684,3521,4242
6502,196,90,184
1767,2176,665,911
